name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,"mean(d,e,v)",mood_final
Stormy Weather,Stormy Weather,Lost Horse Mine,7oXWUVH2t0UR11AvhhY8GQ,8/30/2019,0.5681818181818182,0.289692943112392,0.444,0.00308,0.382,0.816,0.0915,0.197,0.2219048979008996,0.0397,0.5670566643725625,0.18181818181818182,0.6,Sad,0.341,2
Story Of A Violin,Story Of A Violin,Sandro Silva,3JjPOBCCKmvtgSsVIDqFDl,6/7/2019,0.5909090909090909,0.29841832039863186,0.548,0.0125,0.864,0.287,0.818,0.161,0.1626683802180018,0.0881,0.5881899518238128,1.0,0.8,Happy,0.524333333,0
Strange Dreams,Solo Piano,Ella van der Woude,0YXPmthF2oHLQCYIGkSrZy,2/14/2020,0.3409090909090909,0.25834293066961433,0.308,0.988,0.0229,0.819,0.0935,0.148,0.6411775905564282,0.0406,0.6685799495297088,0.8181818181818182,0.8,Sad,0.159633333,2
Streets,Rivals,Kensington,265poZGWCyWo6h5tq7kiA6,8/8/2014,0.0,0.35757649414610715,0.376,0.000874,0.771,8.98e-06,0.274,0.419,0.13803607977533439,0.0422,0.7715255792612985,0.5454545454545454,0.8,Happy,0.522,0
Stricken,Ten Thousand Fists,Disturbed,4VGUcTzWj0ebZ0UgI9irJL,9/19/2005,0.0,0.47284291427215536,0.404,8.51e-05,0.969,0.0114,0.268,0.29,0.06992241420343663,0.195,0.7977884835971553,0.7272727272727273,0.8,Happy,0.554333333,0
Stuck In The Middle With You,Reservoir Dogs (Original Motion Picture Soundtrack),Various Artists,1b7LMtXCXGc2EwOIplI35z,1/1/2009,0.8295454545454546,0.39333260027046163,0.795,0.0934,0.564,0.000531,0.0631,0.961,0.24946451520776808,0.0392,0.569699472356045,0.6363636363636364,0.8,Happy,0.773333333,3
Stupify,The Sickness (10th Anniversary Edition),Disturbed,54cWVWqgyFukgDKQYmaKM3,3/12/2010,0.6931818181818182,0.5285769127635892,0.597,0.00108,0.939,9.77e-05,0.201,0.422,0.07142177162168593,0.0446,0.4496444138563891,0.09090909090909091,0.8,Happy,0.652666667,3
Such Great Heights,Around The Well,Iron & Wine,7vcuTZAFyu0Z5dgMRLR0h0,5/19/2009,0.0,0.48474746948625796,0.61,0.808,0.275,0.913,0.403,0.552,0.25332000571183777,0.028,0.43169534296857076,0.5454545454545454,0.8,Happy,0.479,1
Suds & Soda,Worst Case Scenario,dEUS,0MaUnKwsHKRj4qjLDuBG66,1/1/1994,0.4772727272727273,0.606127248139853,0.149,8.51e-05,0.79,0.000248,0.0903,0.39,0.18872864010662097,0.052,0.7813214039917412,0.36363636363636365,0.8,Sad,0.443,1
Suhpratti,Hum,Parazal,4A6C6K8c8IukPda2f0rI8J,7/24/2020,0.4318181818181818,0.35986056372534836,0.564,0.974,0.0515,0.765,0.114,0.214,0.3597981817316388,0.0338,0.4311126405138793,1.0,0.8,Sad,0.2765,2
