name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,"mean(d,e,v)",mood_final
1999,1999,Prince,2H7PHVdQ3mXqEHXcvclTB0,10/27/1982,0.7727272727272727,0.7316469029058227,0.866,0.137,0.73,0.0,0.0843,0.625,0.195178256937503,0.0767,0.5438082128928653,0.45454545454545453,0.8,Happy,0.740333333,0
23,23,Blonde Redhead,4HIwL9ii9CcXpTOTzMq0MP,4/16/2007,0.48863636363636365,0.6150011671132563,0.381,0.0189,0.832,0.196,0.153,0.166,0.1206387738588224,0.0492,0.5517549896765314,0.7272727272727273,0.8,Happy,0.459666667,1
9 Crimes,9,Damien Rice,5GZEeowhvSieFDiR8fQ2im,11/6/2006,0.6818181818181818,0.4204424227342088,0.346,0.913,0.139,7.73e-05,0.0934,0.116,0.3647484411442715,0.0321,0.6247671484285388,0.0,0.8,Sad,0.200333333,2
99 Luftballons,99 Luftballons,Nena,6HA97v4wEGQ5TUClRM0XLc,8/21/1984,0.022727272727272728,0.44948328713108127,0.466,0.089,0.438,5.62e-06,0.113,0.587,0.3060117092674568,0.0608,0.8859830236292728,0.36363636363636365,0.8,Happy,0.497,1
A Boy Brushed Red Living In Black And White,They're Only Chasing Safety,Underoath,47IWLfIKOKhFnz1FUEUIkE,1/1/2004,0.6818181818181818,0.5170022358417588,0.419,0.00171,0.932,0.0,0.137,0.445,0.08577276405350089,0.106,0.7794494150034412,0.09090909090909091,0.8,Happy,0.598666667,0
A Burden to Bear,A Burden to Bear,Emmanuelle Rimbaud,67DOFCrkcQaLp5yhzF8Y8N,7/31/2020,0.3068181818181818,0.2496464900756791,0.394,0.995,0.0475,0.955,0.105,0.172,0.6290637345899376,0.072,0.3268685478320716,0.5454545454545454,1.0,Sad,0.2045,2
A La Plage,A La Plage,Ron Adelaar,79NmiFAgcXUIVDGfCWDdWF,8/7/2020,0.32954545454545453,0.27371795984744574,0.504,0.994,0.0584,0.956,0.115,0.553,0.4869579703936408,0.0516,0.6157788483597155,0.45454545454545453,0.8,Sad,0.3718,1
A Little Less Conversation - JXL Radio Edit Remix,Elvis 75 - Good Rockin' Tonight,Elvis Presley,4l2hnfUx0esSbITQa7iJt0,12/28/2009,0.011363636363636364,0.40737654160228254,0.586,0.000155,0.935,0.277,0.159,0.58,0.22338045599504971,0.0482,0.5276301904106446,0.36363636363636365,0.8,Happy,0.700333333,3
A Place for My Head,Hybrid Theory (Bonus Edition),Linkin Park,5rAxhWcgFng3s570sGO2F8,10/24/2000,0.7727272727272727,0.35619139114112813,0.603,0.0144,0.908,0.0,0.671,0.457,0.12504164881717358,0.184,0.6105207616425785,1.0,0.8,Happy,0.656,3
ATTACK,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,6QxTWEvzcJljVZaeTzuHF1,5/15/2007,0.0,0.3649881456017192,0.331,0.00344,0.876,0.000835,0.732,0.299,0.04507591984387643,0.0603,0.8029777471897224,0.45454545454545453,0.8,Happy,0.502,0
Adagio For Strings,Adagio For Strings,Lucas & Steve,1RvDsjCBDTES3lPiEGNNMY,11/9/2018,0.625,0.3803998279231364,0.349,0.000877,0.793,0.431,0.22,0.0398,0.16059783902137179,0.0677,0.5833402156457903,0.9090909090909091,0.8,Sad,0.393933333,1
Adjustments,Adjustments,Josie Mehlin,6w0vhPaZBYjhrDobs3QE14,1/17/2020,0.5909090909090909,0.3510985332955227,0.532,0.974,0.541,0.864,0.228,0.329,0.2839735351516017,0.0283,0.6242853865565496,0.0,0.8,Happy,0.467333333,1
Adrift,Adrift,Cooper Sams,3TNNGjgOQ7O8vwAlvlD9Fg,3/21/2018,0.6022727272727273,0.30502553180817676,0.382,0.497,0.333,0.918,0.106,0.0486,0.3706268741967728,0.0367,0.3898784124799266,0.6363636363636364,0.8,Sad,0.254533333,2
Afraid of Heights,Afraid of Heights,Billy Talent,0P44AUPRzaIAHNWquN0fGR,7/29/2016,0.4318181818181818,0.43536218128644816,0.543,0.000168,0.991,1.31e-05,0.374,0.766,0.06616212099576371,0.0668,0.6883734801559992,0.8181818181818182,0.8,Happy,0.766666667,3
Africa,Toto IV,TOTO,2374M0fQpWi3dLnB54qaLX,4/8/1982,0.9545454545454546,0.570810979738528,0.671,0.257,0.373,7.95e-05,0.0481,0.732,0.429910990527869,0.0323,0.425404909382886,0.8181818181818182,0.8,Happy,0.592,0
After The Rain,After The Rain,Comet Blue,2XBc2jWnvPqNO2LebVtLaY,8/3/2020,0.2727272727272727,0.22498278266807878,0.456,0.993,0.0337,0.948,0.126,0.3,0.6394878385453854,0.0334,0.4459692590043588,0.0,0.8,Sad,0.263233333,2
Afterlife,Avenged Sevenfold,Avenged Sevenfold,4QdwsME04RG25KPHcPYoox,10/30/2007,0.14772727272727273,0.6781989031064504,0.492,0.000444,0.95,6.22e-05,0.22,0.391,0.09983816459612548,0.076,0.5048267951364992,0.18181818181818182,0.8,Happy,0.611,0
Algo Rhythm,Temporär Musik 1-13,One Sentence. Supervisor,0PqJ7LSknltqqMNqPDClNA,10/28/2016,0.0,0.4063213168895757,0.402,1.19e-05,0.75,0.959,0.122,0.58,0.1751154267218811,0.0293,0.68796054140858,0.18181818181818182,0.8,Happy,0.577333333,0
Alison,Souvlaki,Slowdive,55CenVQ4alvDJ1PS8aYB0m,1993,0.0,0.44734775923900355,0.279,0.00957,0.423,0.837,0.128,0.291,0.28701984863629876,0.038,0.46602890571231936,0.36363636363636365,0.8,Sad,0.331,2
Alive,Alive,Paris Blohm,2rPJcL8gQauA2nBdRyNZZL,11/16/2018,0.5795454545454546,0.3481431324548154,0.494,0.00248,0.847,0.0,0.0502,0.148,0.09510209910038554,0.0537,0.5960495526496903,0.0,0.8,Happy,0.496333333,1
All I Want,The Kodaline EP,Kodaline,1XczdQt6RKNkEQfPqUsi3q,9/7/2012,0.32954545454545453,0.5914659907055344,0.189,0.113,0.427,0.0923,0.058,0.158,0.2160978628206959,0.0449,0.8589676531314522,0.0,0.6,Sad,0.258,2
All Mirrors,All Mirrors,Angel Olsen,4ZQdynvfiayhdoq5lcuCQ1,7/31/2019,0.011363636363636364,0.5440599722593576,0.429,0.00299,0.689,0.00193,0.152,0.23,0.1756390118520634,0.0379,0.4819454003211746,0.6363636363636364,0.8,Sad,0.449333333,1
All These Things I Hate (Revolve Around Me),The Poison,Bullet For My Valentine,6hZkQjIQBY7HAj4nzLUvdx,9/1/2005,0.4431818181818182,0.43489919420957496,0.488,0.0303,0.879,0.0,0.288,0.483,0.08341663096768051,0.0514,0.43130534526267494,0.5454545454545454,0.6,Happy,0.616666667,0
All in the Suit That You Wear,Thank You,Stone Temple Pilots,17Nk1aji6gd26vabky7fMi,11/10/2003,0.4431818181818182,0.4235810892928451,0.429,1.94e-05,0.982,0.0185,0.312,0.583,0.07049359798181731,0.0617,0.5638036246845607,0.18181818181818182,0.8,Happy,0.664666667,3
All of Me,Love In The Future (Expanded Edition),John Legend,3U4isOIWM3VvDubwSI3y7a,8/30/2013,0.9659090909090909,0.5200116518414346,0.422,0.922,0.264,0.0,0.132,0.331,0.1681184254367176,0.0322,0.5502638219775179,0.7272727272727273,0.8,Sad,0.339,2
All or Nothing (feat. Axel Ehnström) - Deluxe Mix,Less is More (Deluxe),Lost Frequencies,15bAMg00o4VdWmQrlkbfG3,7/14/2017,0.25,0.3288327131235616,0.737,0.226,0.816,0.453,0.621,0.533,0.2194297681945833,0.0411,0.5690020646937372,0.36363636363636365,0.8,Happy,0.695333333,3
Always,Back Into Your System,Saliva,7kpa6MWRrPaF3b6C0DgioK,11/12/2002,0.7159090909090909,0.44601088405453215,0.363,0.0122,0.906,0.0,0.172,0.371,0.1050740158979485,0.0615,0.8348887359486121,0.09090909090909091,0.8,Happy,0.546666667,0
Ambre,Wintermusik,Nils Frahm,0suQ6B8Bsp0tFuCXx652Az,12/4/2009,0.0,0.4391413133014258,0.391,0.992,0.0576,0.947,0.117,0.359,0.608905707077919,0.0342,0.6679008947006194,0.9090909090909091,0.6,Sad,0.2692,2
Anaviosi,Anaviosi,Alexi Musnitsky,4OWZLr2sLv7ueKPHV7JRNP,7/9/2020,0.4318181818181818,0.3361363342612366,0.391,0.995,0.0121,0.946,0.0959,0.118,0.585177780951021,0.0852,0.31258545537967425,0.09090909090909091,0.8,Sad,0.1737,2
Anchor,Anchor,Novo Amor,6x6XKEUcCJGUACD4Xh7KuP,10/23/2015,0.0,0.49439689181342394,0.486,0.755,0.356,0.861,0.0986,0.111,0.3248369746299205,0.0318,0.5374673090158294,0.8181818181818182,0.8,Sad,0.317666667,2
Andromeda,Andromeda,Weyes Blood,0L6lVIgGqVHnmR3BIy8GHa,1/17/2019,0.4090909090909091,0.5405104046699963,0.463,0.367,0.462,0.0012,0.356,0.189,0.18896663334761293,0.0272,0.6023078687772425,0.09090909090909091,0.8,Sad,0.371333333,1
Angel's Song,Angel's Song,Arlo Parks,5hXTMmVXz1Ablgu34BkTz1,11/20/2019,0.6590909090909091,0.3805040000154329,0.693,0.894,0.195,0.0325,0.126,0.315,0.3636060735875101,0.0446,0.535558614361092,1.0,0.8,Sad,0.401,1
Angry Chair,The Essential Alice In Chains,Alice In Chains,6H0wgcQCOuLYqDuNhMW8KL,7/24/2006,0.25,0.5563561373759821,0.313,0.0642,0.973,1.22e-06,0.0581,0.118,0.09174639440239897,0.109,0.49231475108969946,0.7272727272727273,0.8,Happy,0.468,1
Anthem,Anthem,EDX,1SSAvErVyid5OXzmtGZKkg,3/30/2018,0.5,0.3057315871004084,0.664,0.00152,0.86,0.894,0.197,0.249,0.10721595506687609,0.0345,0.5597201192934159,0.6363636363636364,0.8,Happy,0.591,0
Anthem of Our Dying Day,Page Avenue (US Non-PA Version),Story Of The Year,4sPJgy0CksvmXp9jC0W4gv,9/16/2003,0.6363636363636364,0.416738526119223,0.388,0.0211,0.8,0.0,0.212,0.357,0.15064972154790804,0.0783,0.8935260380821289,0.8181818181818182,0.6,Happy,0.515,0
Are You Gonna Be My Girl,Get Born,Jet,305WCRhhS10XUcH6AEwZk6,9/15/2003,0.8522727272727273,0.41244432098122397,0.613,0.00148,0.953,0.000582,0.152,0.537,0.08175067828073683,0.0855,0.4819729295710026,0.18181818181818182,0.8,Happy,0.701,3
As I Sleep (feat. Charlee),As I Sleep (feat. Charlee),Tobtok,72qlZsoVPpyFxVjL6GUuYI,4/13/2018,0.625,0.3732273864572422,0.694,0.0195,0.824,0.0426,0.327,0.202,0.15007853776952734,0.161,0.56441385638908,0.7272727272727273,0.8,Happy,0.573333333,0
Ashes to Ashes,Ashes to Ashes,Warpaint,2lJa0SY7vZpvJ7QDFanOuZ,10/5/2010,0.5795454545454546,0.5984609537919606,0.696,0.186,0.871,0.0282,0.173,0.8,0.15426721881098576,0.0357,0.5457123193392981,0.09090909090909091,0.8,Happy,0.789,3
Atlavík,Varða,Hugar,6WdO6Ds95sLALCqCOfbDQh,8/23/2019,0.6022727272727273,0.30042652684456944,0.535,0.867,0.147,0.797,0.0825,0.238,0.5983388071778761,0.0382,0.5818903418215187,0.18181818181818182,0.8,Sad,0.306666667,2
Auburn Sky,Auburn Sky,Toledo Rains,42BtxDRqFTbE6Jb6rd9QOZ,3/10/2020,0.5454545454545454,0.31411551141745425,0.265,0.906,0.035,0.89,0.0932,0.0651,0.6307296872768813,0.0359,0.6101032346868549,0.36363636363636365,0.8,Sad,0.1217,2
Awaken,Awaken,William Duhamel,00ZtJgQax06A96l8sMcmlB,1/2/2020,0.625,0.25066120341915954,0.346,0.929,0.0943,0.918,0.102,0.109,0.3244323861202342,0.0362,0.582729983941271,0.18181818181818182,0.6,Sad,0.1831,2
Away From Me,Life On Display,Puddle Of Mudd,4wzaTdhmBgpch7IXu3CskA,1/1/2003,0.0,0.4600278178068688,0.396,0.00061,0.93,0.0,0.168,0.195,0.06994621352753581,0.1,0.7101491167699013,0.7272727272727273,0.8,Happy,0.507,0
Back Where I Belong (feat. Avicii),Back Where I Belong (feat. Avicii),Otto Knows,78W8wiUIlQ2SnWY9TVowKZ,6/3/2016,0.6363636363636364,0.3360553115227838,0.497,0.0306,0.865,0.0679,0.443,0.595,0.07591984387643391,0.0644,0.5779307180545997,0.0,0.8,Happy,0.652333333,3
Back+,Back+,Ton Snijders,6MrVWgw16iHBGRntjRkGQq,4/10/2020,0.29545454545454547,0.38340345658435143,0.383,0.993,0.0197,0.944,0.121,0.113,0.6709505450045219,0.0528,0.3099564120211058,0.6363636363636364,0.6,Sad,0.1719,2
Bad Feeling,Bad Feeling,Muzz,1qUaWLUot3Iik95S09cdSZ,3/12/2020,0.4431818181818182,0.3046647877107797,0.512,0.351,0.352,0.74,0.106,0.275,0.21640725403398542,0.0354,0.38055976141316816,0.45454545454545453,0.8,Sad,0.379666667,1
Bad Kingdom,Gold,May,7vCuaxRIKElwgjSAo5REkw,1/19/2018,0.6477272727272727,0.3727431791393456,0.401,0.934,0.199,0.0064,0.112,0.0744,0.34292446094530915,0.0355,0.5430190410644643,0.8181818181818182,0.8,Sad,0.2248,2
Bad Timing,Bad Timing,Arlo Day,2KSCegx6TosQQEgmhJKNQa,4/15/2019,0.3409090909090909,0.49170385031627806,0.471,0.689,0.289,0.000535,0.0865,0.225,0.2328525869865296,0.0258,0.6714934618031659,0.5454545454545454,0.8,Sad,0.328333333,2
Ballad of the Dying Man,Ballad of the Dying Man,Father John Misty,65w8nArxPq2EzOAhteymf0,2/1/2017,0.0,0.5608625449242148,0.399,0.848,0.443,0.000406,0.0899,0.265,0.21819220334142508,0.0272,0.6407111722872219,0.45454545454545453,0.8,Sad,0.369,1
Balloon,Balloon,YuMe,6a9DN96EWRc56Lwl5YD7KL,5/1/2020,0.38636363636363635,0.2762721052215297,0.408,0.987,0.00518,0.929,0.12,0.0381,0.6935599028987577,0.0355,0.3316861665519615,0.45454545454545453,0.6,Sad,0.150426667,2
Bat Country,City of Evil,Avenged Sevenfold,6irNz2hSXvd2QJG0vXyBFR,6/6/2005,0.4431818181818182,0.6015224558377847,0.541,0.000248,0.968,8.28e-06,0.423,0.505,0.09826740920557855,0.0396,0.5737095664143153,0.0,0.8,Happy,0.671333333,3
Bayybe 07,Bayybe,Bilo 503,08qO8i2K0Hxl0h8PIncyuH,11/17/2017,0.5681818181818182,0.22029503851473745,0.44,0.827,0.384,0.934,0.156,0.0912,0.2934694654671807,0.0453,0.5870061940812114,0.6363636363636364,0.8,Sad,0.305066667,2
Be My Mistake,A Brief Inquiry Into Online Relationships,The 1975,0AG2l0IboWNSwjUkMr2Aq7,11/30/2018,0.4431818181818182,0.49518011161846776,0.572,0.835,0.155,0.000137,0.0906,0.0949,0.34282926364891236,0.0344,0.5043496214728149,0.5454545454545454,0.6,Sad,0.273966667,2
Beautiful Life,Beautiful Life,Lost Frequencies,2s25Z079T5KRzfqEQRMQQ4,6/3/2016,0.3522727272727273,0.31148034330491753,0.732,0.127,0.52,0.0347,0.139,0.339,0.15907468227902327,0.0376,0.550488644184446,0.18181818181818182,0.8,Happy,0.530333333,0
Beautiful Night,Burden Brothers EP,Burden Brothers,4zhRVs7eqgdroy5E3kKEs2,8/13/2002,0.4318181818181818,0.5006607211409545,0.531,0.000508,0.892,0.024,0.144,0.599,0.10804893141034795,0.0582,0.5970773113099336,0.6363636363636364,0.8,Happy,0.674,3
Beekweide,Beekweide,Job Roggeveen,199PI6mx1IFrDk8ZMtNTyX,7/10/2020,0.38636363636363635,0.4228904669031759,0.321,0.984,0.11,0.963,0.115,0.173,0.5623780284639915,0.0345,0.3391328286304198,0.7272727272727273,0.8,Sad,0.201333333,2
Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2gMXnyrvIjhVBUZwvLZDMP,11/22/2019,0.9659090909090909,0.41496374232454236,0.459,0.604,0.575,0.0,0.0885,0.183,0.11561711647389213,0.0573,0.5133333333333333,0.2727272727272727,0.8,Sad,0.405666667,1
Bennie And The Jets - Remastered 2014,Goodbye Yellow Brick Road (40th Anniversary Celebration/ Super Deluxe Edition),Elton John,3iJxloILmOu2NIRZ0OGyui,10/5/1973,0.0,0.6222314819637597,0.666,0.251,0.668,5.77e-06,0.499,0.765,0.18946641915369605,0.0523,0.6086992429456297,0.0,0.8,Happy,0.699666667,3
Better Than Today,Better Than Today,Rhys Lewis,6MLHg35rlksBc5OBcdZvJi,1/4/2019,0.6818181818181818,0.44437692549573377,0.387,0.736,0.234,0.0,0.084,0.408,0.21088581084297206,0.0373,0.36086258316127556,0.0,0.8,Sad,0.343,2
Better Together,In Between Dreams,Jack Johnson,4VywXu6umkIQ2OS0m1I79y,1/1/2005,0.8181818181818182,0.4006381505209569,0.868,0.308,0.347,2e-05,0.11,0.659,0.2267837593412347,0.0536,0.5049736178022483,0.45454545454545453,0.8,Happy,0.624666667,0
Betty,Betty,Wilson Trouvé,0yBM8cOHjb6iiMI2eM8pIc,5/29/2020,0.36363636363636365,0.31203399868434506,0.171,0.89,0.185,0.94,0.101,0.264,0.4676805178732924,0.0348,0.6547097958247304,0.8181818181818182,0.8,Sad,0.206666667,2
Billinghurst,Damon EP,Jeremy Olander,6B2jQL05apmJlDZtPIxD3R,4/21/2017,0.0,0.8808039770589904,0.769,0.0305,0.701,0.85,0.0929,0.168,0.21631205673758866,0.062,0.5644000917641661,0.45454545454545453,0.8,Happy,0.546,0
Bird,Writing of Blues and Yellows (Deluxe Version),Billie Marten,6DzvC1VHpyTFfLBbAYBa7W,9/23/2016,0.625,0.4256394526721106,0.235,0.988,0.187,0.00197,0.106,0.118,0.30353657956114044,0.0347,0.3944115622849278,0.5454545454545454,0.8,Sad,0.18,2
Bison on the Plains,Bison on the Plains,Grandaddy,0e0hVla9NkILk2JWOwVCMW,11/19/2018,0.36363636363636365,0.5957100389102056,0.476,0.285,0.522,0.0127,0.193,0.0973,0.19417868532533678,0.0281,0.6142417985776555,0.8181818181818182,0.8,Sad,0.3651,1
Black Car,Black Car,Beach House,7ESnexsnylx85YfT6ZiSun,5/2/2018,0.0,0.48451597594782136,0.407,0.344,0.549,0.901,0.111,0.32,0.24380027607215954,0.0293,0.35546226198669423,0.8181818181818182,0.8,Sad,0.425333333,1
Blackout,Blackout,(Hed) P.E.,6yTnvHRhUuuaoxy4dHzLGo,2003,0.42045454545454547,0.44999643114128246,0.548,0.00016,0.864,0.00262,0.0354,0.5,0.14893617021276595,0.0557,0.43849047946776787,0.09090909090909091,0.8,Happy,0.637333333,0
Blame,Blame,Manse,3TSZpRzSEKL1dFfpd1JDoF,6/26/2019,0.6022727272727273,0.3490478863675384,0.612,0.619,0.68,0.0,0.0786,0.346,0.11721167118853824,0.0346,0.5868731360403763,0.0,0.8,Happy,0.546,0
Blaster,Blaster,Marc Benjamin,1fMZR4DD2mE0iXginD9fOc,11/23/2018,0.0,0.3077378644335257,0.667,0.0326,0.857,0.464,0.27,0.301,0.11254700366509592,0.0468,0.5778664831383346,0.18181818181818182,0.8,Happy,0.608333333,0
Bleed American,Bleed American,Jimmy Eat World,61XspFITuKmAlYdQacNCbF,7/17/2001,0.7159090909090909,0.35012047309562805,0.438,0.00842,0.938,1.08e-06,0.806,0.584,0.13353800752058642,0.094,0.7350860289057123,0.5454545454545454,0.8,Happy,0.653333333,3
Bloodbuzz Ohio,Bloodbuzz Ohio,SOAK,2pfkaHd8arhESSxyJAou6g,11/25/2019,0.5227272727272727,0.5400879289623495,0.441,0.715,0.268,1.49e-06,0.11,0.057,0.1945118758627255,0.0308,0.6426841018582244,0.5454545454545454,0.8,Sad,0.255333333,2
Bloom,Bloom,Hilder Sky,5DP6ow4t5Mmfge0fMRhSJD,5/30/2019,0.5909090909090909,0.23355576004151452,0.249,0.945,0.129,0.839,0.17,0.253,0.4323623209100862,0.0324,0.3238816242257399,0.36363636363636365,1.0,Sad,0.210333333,2
Bloom Innocent,Bloom Innocent,Fink,7zNT9GE070fYjnhx6TFWnQ,9/4/2019,0.22727272727272727,0.8031919100724768,0.519,0.931,0.236,0.133,0.127,0.283,0.4373839782950164,0.0362,0.3670933700389998,0.18181818181818182,0.8,Sad,0.346,2
Blow,Blow,Yves V,4nX11Rjdh7AuM8Ezb73m1R,5/15/2017,0.0,0.3183036153503365,0.603,0.0186,0.902,0.683,0.105,0.135,0.14229615878909038,0.0494,0.5871667813718743,0.45454545454545453,0.8,Happy,0.546666667,0
Body Rock,Body Rock,Bingo Players,3wcaYUOKVSEbmmGB43YGqf,11/16/2018,0.5227272727272727,0.30520879752610575,0.627,0.00919,0.944,0.00311,0.444,0.551,0.10612118615831309,0.344,0.5784721266345493,0.45454545454545453,0.8,Happy,0.707333333,3
Boiler,Chocolate Starfish And The Hot Dog Flavored Water (Explicit Version),Limp Bizkit,5UaOg4eymp98fxKyx6SHmB,1/1/2000,0.0,0.8107405285383306,0.443,0.00393,0.722,0.0155,0.0373,0.167,0.15055452425151125,0.0865,0.5107777013076393,0.5454545454545454,0.8,Sad,0.444,1
Bortom Träden,I Blomstertid,Erik Reno,4CFlaEtdgeu4mFmnUApAyl,6/7/2020,0.5454545454545454,0.5026573529099703,0.446,0.801,0.0586,0.85,0.0876,0.111,0.6286829454043505,0.0416,0.5690250057352604,0.7272727272727273,0.8,Sad,0.2052,2
Bottom Of The Sea,Bottom Of The Sea,Isaac Elton,5OTdNMpl1EPr3tOLyyRIc3,7/11/2017,0.5454545454545454,0.4672562035445519,0.775,0.00681,0.66,0.171,0.22,0.425,0.18870484078252178,0.0444,0.5782151869694885,0.0,0.8,Happy,0.62,0
Bottom of a Bottle,Shapeshifter,Smile Empty Soul,1XZrMIHtCVJPqK29Mzm44G,4/1/2016,0.6931818181818182,0.4279273804769924,0.537,0.00236,0.847,1.16e-06,0.0844,0.459,0.1239468799086106,0.0383,0.4866024317504015,0.5454545454545454,0.8,Happy,0.614333333,0
Bouquet with Lilies,Bouquet with Lilies,La Acacia,1j45uvYWACNGDZ0jmKSTuP,10/30/2019,0.6363636363636364,0.41785934066782027,0.621,0.716,0.345,0.921,0.091,0.113,0.28811461754486173,0.0295,0.5399541179169535,0.0,0.8,Sad,0.359666667,1
Break Stuff,Significant Other (Explicit),Limp Bizkit,1rJ1xX2XBC8nesYapeO6Av,6/16/1999,0.0,0.321594681821777,0.45,0.0108,0.877,0.000643,0.112,0.663,0.15888428768622972,0.156,0.4978251892635926,0.7272727272727273,0.8,Happy,0.663333333,3
Breathe,Breathe,Hans Voller,5q2hzGmdBeXEWuMOlOMOt2,10/28/2019,0.32954545454545453,0.32060697605778077,0.612,0.99,0.037,0.947,0.108,0.103,0.4487362558903327,0.0408,0.5185042440926818,1.0,0.6,Sad,0.250666667,2
Breathe Me,Colour The Small One,Sia,7jqzZyJJLrpkRFYGpkqSK6,1/1/2004,0.7727272727272727,0.5262619773792231,0.552,0.0364,0.643,0.74,0.105,0.212,0.1751630253700795,0.0327,0.5506400550584997,0.0,0.8,Happy,0.469,1
Brimful of Asha - Norman Cook Remix,Why Try Harder - Greatest Hits,Fatboy Slim,5BegkNkGXa6TUobnxy5LFL,6/1/2006,0.0,0.46092871349395126,0.663,0.18,0.957,0.0,0.348,0.937,0.06718549193202913,0.0584,0.5766368433126864,1.0,0.8,Happy,0.852333333,3
Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,4Of7rzpRpV1mWRbhp5rAqG,5/17/2019,0.9545454545454546,0.4253539439747055,0.736,0.946,0.308,0.0,0.186,0.361,0.18634870769670142,0.0677,0.5102179398944712,0.36363636363636365,0.8,Happy,0.468333333,1
Butterfly,The Gift Of Game,Crazy Town,4BggEwLhGfrbrl7JBhC8EC,11/4/1999,0.8068181818181818,0.41810240888317873,0.736,0.00132,0.811,0.000142,0.107,0.609,0.09924318149364558,0.081,0.4748887359486121,0.8181818181818182,0.8,Happy,0.718666667,3
Bye Bye Little House,Bye Bye Little House,Ella van der Woude,7AQKjpzLGVBKvTDyoJ7YVK,1/3/2020,0.3409090909090909,0.39046208039384767,0.31,0.985,0.0313,0.94,0.263,0.182,0.560474082536056,0.0325,0.426047258545538,0.9090909090909091,0.8,Sad,0.174433333,2
California Dreamin',If You Can Believe Your Eyes And Ears,The Mamas & The Papas,63rva3TBizr6x1Yp5uwKfD,1966-03,0.5681818181818182,0.30472266109538887,0.554,0.628,0.667,0.0,0.0486,0.597,0.24337188823837405,0.0342,0.5173158981417756,0.09090909090909091,0.8,Happy,0.606,0
Calm Wilderness,Calm Wilderness,Night Sounds,44Co96UhNfnq258r2VybLE,8/22/2019,0.5909090909090909,0.4470198100595517,0.186,0.886,0.271,0.961,0.141,0.0684,0.4081346089771051,0.0449,0.5317549896765313,0.6363636363636364,0.8,Sad,0.175133333,2
Car Underwater,What To Do When You Are Dead,Armor For Sleep,4CilIy3dA3P9Tq2NFqKEOX,2005,0.5909090909090909,0.4411996766806913,0.435,0.014,0.774,0.0,0.127,0.448,0.12023418534913607,0.0631,0.6766047258545539,0.18181818181818182,0.8,Happy,0.552333333,0
Chariot,B-Sides and Rarities,Beach House,6dB3Uad2TOaJcGKpM3zizO,6/30/2017,0.4772727272727273,0.6105777114162968,0.374,0.663,0.426,0.607,0.0886,0.0902,0.17599600171355131,0.0315,0.46879559532002757,0.9090909090909091,0.8,Sad,0.296733333,2
Children Of Today,Children Of Today,Blasterjaxx,2106G7MY2XnVyqij2bJVGH,4/19/2019,0.6590909090909091,0.32676084595455396,0.507,0.00892,0.836,0.000598,0.485,0.333,0.10369365510019515,0.038,0.5965909612296398,0.5454545454545454,0.8,Happy,0.558666667,0
Chocolate,The 1975,The 1975,4WiiRw2PHMNQE0ad6y6GdD,1/1/2013,0.75,0.43341956467640097,0.614,0.000532,0.938,0.0,0.368,0.607,0.1061687848065115,0.0611,0.4590869465473733,1.0,0.8,Happy,0.719666667,3
Chop Suey!,Toxicity,System Of A Down,2DlHlPMa4M17kufBvI2lEN,9/4/2001,0.8977272727272727,0.4055766793409379,0.419,0.000278,0.934,0.0015,0.132,0.286,0.09300775857965633,0.12,0.5840238586831842,0.6363636363636364,0.8,Happy,0.546333333,0
City Lights,City Lights,Marlies du Mosch,5OxyHotdy7y789r3UQcHAB,7/3/2020,0.29545454545454547,0.43649264139914695,0.341,0.983,0.0582,0.924,0.097,0.0514,0.5498357846637156,0.0472,0.38105069970176647,0.7272727272727273,0.8,Sad,0.1502,2
Clap Your Hands,Clap Your Hands,Sia,18cST7DK31Ab2rTH1POP6A,4/9/2010,0.5,0.4600278178068688,0.699,0.000532,0.87,0.0219,0.359,0.778,0.11721167118853824,0.0546,0.5507364074328975,0.0,0.8,Happy,0.782333333,3
Cleansing,Cleansing,Jacco Wynia,6u1ymcw9MTK9mPGy8XdvEb,5/29/2020,0.4090909090909091,0.5868689148547475,0.18,0.956,0.0754,0.926,0.11,0.0366,0.6341329906230663,0.0346,0.3288598302362927,0.8181818181818182,0.8,Sad,0.097333333,2
Clear Skies,Clear Skies,Dhyana Thomas,7bKMZYXVYzGMvnHiRDCmjy,4/26/2019,0.5795454545454546,0.31268025147914724,0.421,0.94,0.136,0.89,0.113,0.0505,0.5597839021371793,0.0305,0.5048680890112411,1.0,0.8,Sad,0.2025,2
Click Click Boom,Every Six Seconds,Saliva,1LMVGL3030W3mGmRrd2hCm,1/1/2001,0.0,0.4869080758449996,0.607,0.00259,0.935,0.000221,0.195,0.51,0.06944642772145271,0.0506,0.4403303509979353,0.5454545454545454,0.8,Happy,0.684,3
Coda,Endeavour,Jakob Ahlbom,2TFQPFUqRtgj1auq9b5PlR,10/4/2019,0.6590909090909091,0.3484247829265799,0.351,0.93,0.24,0.904,0.101,0.0968,0.36562901613594173,0.034,0.3666850194998853,0.8181818181818182,0.6,Sad,0.229266667,2
