song_name,danceability,acousticness,energy,liveness,valence,loudness,speechiness,tempo,key,time_signature,mode,mood
,0.843,0.441,0.672,0.0789,0.935,-7.231,0.185,152.026,1.0,4.0,1.0,Energized
,0.934,0.0623,0.763,0.128,0.249,-4.948,0.171,95.964,6.0,4.0,0.0,Energized
,0.534,0.697,0.481,0.142,0.293,-9.016,0.0412,124.914,0.0,4.0,0.0,Relaxed Sad
,0.775,0.147,0.625,0.0432,0.781,-7.093,0.0492,120.011,0.0,4.0,1.0,Energized
,0.65,0.00682,0.799,0.117,0.613,-5.441,0.0344,124.996,10.0,4.0,0.0,Energized
,0.676,0.246,0.806,0.179,0.865,-4.61,0.367,91.268,11.0,4.0,1.0,Energized
,0.676,0.246,0.806,0.179,0.865,-4.61,0.367,91.268,11.0,4.0,1.0,Energized
,0.794,0.52,0.747,0.0725,0.741,-3.148,0.0709,97.957,7.0,4.0,0.0,Energized
,0.694,0.468,0.484,0.107,0.214,-7.037,0.0343,122.897,2.0,4.0,1.0,Relaxed Sad
,0.694,0.468,0.484,0.107,0.214,-7.037,0.0343,122.897,2.0,4.0,1.0,Relaxed Sad
,0.451,0.678,0.515,0.112,0.133,-8.022,0.0422,96.864,7.0,4.0,1.0,Relaxed Sad
,0.202,0.968,0.00618,0.142,0.0601,-33.929,0.0487,63.358,5.0,3.0,1.0,Relaxed Sad
,0.729,0.0365,0.78,0.0943,0.667,-6.77,0.0314,127.01,1.0,4.0,0.0,Energized
,0.689,0.47,0.782,0.333,0.661,-4.516,0.125,74.995,4.0,4.0,0.0,Relaxed Sad
,0.567,0.736,0.54,0.164,0.331,-5.754,0.0406,92.027,1.0,4.0,1.0,Relaxed Sad
,0.625,0.0694,0.795,0.322,0.779,-5.989,0.0564,78.044,0.0,4.0,1.0,Relaxed Sad
,0.753,0.542,0.477,0.107,0.527,-7.739,0.0685,83.485,2.0,4.0,0.0,Relaxed Sad
,0.499,0.529,0.468,0.771,0.578,-8.585,0.0747,77.871,5.0,4.0,0.0,Relaxed Sad
,0.595,0.478,0.703,0.334,0.638,-6.857,0.0389,78.987,10.0,4.0,1.0,Relaxed Sad
,0.792,0.00704,0.701,0.192,0.482,-8.52,0.33,169.895,11.0,4.0,0.0,Energized
,0.602,0.116,0.882,0.0959,0.945,-4.586,0.077,77.786,5.0,4.0,0.0,Energized
,0.557,0.556,0.599,0.103,0.392,-6.309,0.0447,149.785,9.0,4.0,0.0,Energized
,0.725,0.297,0.892,0.124,0.651,-7.539,0.068,111.989,5.0,4.0,0.0,Energized
,0.66,0.418,0.56,0.0998,0.155,-13.593,0.0478,127.96,11.0,4.0,0.0,Relaxed Sad
,0.673,0.537,0.623,0.157,0.562,-6.635,0.112,81.836,1.0,4.0,0.0,Relaxed Sad
,0.717,0.45,0.666,0.111,0.74,-7.54,0.0566,95.989,11.0,4.0,0.0,Relaxed Sad
,0.717,0.45,0.666,0.111,0.74,-7.54,0.0566,95.989,11.0,4.0,0.0,Relaxed Sad
,0.649,0.281,0.876,0.156,0.773,-4.875,0.0309,95.011,8.0,4.0,0.0,Energized
,0.449,0.257,0.464,0.0699,0.428,-10.633,0.0928,148.832,9.0,4.0,1.0,Relaxed Happy
,0.479,0.375,0.542,0.0798,0.256,-6.966,0.0445,89.929,8.0,4.0,0.0,Relaxed Sad
,0.666,0.00875,0.893,0.267,0.837,-5.836,0.0614,100.025,6.0,4.0,1.0,Energized
,0.509,0.512,0.834,0.216,0.788,-6.105,0.22,113.853,11.0,4.0,1.0,Energized
,0.662,0.586,0.704,0.0904,0.353,-7.769,0.0381,110.944,8.0,4.0,0.0,Relaxed Sad
,0.54,0.667,0.589,0.314,0.529,-6.939,0.0448,80.962,2.0,4.0,0.0,Relaxed Sad
,0.789,0.128,0.71,0.112,0.188,-6.165,0.0681,138.033,5.0,4.0,0.0,Energized
,0.606,0.638,0.488,0.11,0.413,-9.365,0.0446,137.998,7.0,4.0,0.0,Relaxed Sad
,0.489,0.73,0.428,0.255,0.552,-8.369,0.0301,109.956,5.0,1.0,1.0,Relaxed Sad
,0.579,0.0308,0.645,0.141,0.469,-6.245,0.0251,147.828,5.0,4.0,1.0,Energized
,0.564,0.46,0.801,0.143,0.492,-5.26,0.0318,81.943,5.0,4.0,0.0,Relaxed Sad
,0.535,0.358,0.704,0.107,0.142,-9.261,0.0537,80.0,1.0,4.0,1.0,Relaxed Sad
,0.83,0.604,0.66,0.106,0.679,-6.652,0.208,94.003,1.0,4.0,0.0,Relaxed Sad
,0.515,0.0478,0.554,0.219,0.509,-11.616,0.0784,80.146,7.0,4.0,1.0,Relaxed Sad
,0.548,0.0719,0.75,0.386,0.336,-5.785,0.0828,126.013,2.0,4.0,1.0,Energized
,0.548,0.0719,0.75,0.386,0.336,-5.785,0.0828,126.013,2.0,4.0,1.0,Energized
,0.84,0.000664,0.807,0.125,0.632,-9.086,0.117,126.026,1.0,4.0,0.0,Energized
,0.374,0.699,0.402,0.139,0.194,-9.784,0.0752,89.39,5.0,4.0,0.0,Relaxed Sad
,0.851,0.528,0.733,0.111,0.574,-5.779,0.0401,112.028,11.0,4.0,0.0,Energized
,0.172,0.917,0.267,0.122,0.227,-11.361,0.0389,74.733,5.0,4.0,1.0,Relaxed Sad
,0.663,0.317,0.67,0.12,0.764,-6.521,0.0389,95.043,10.0,4.0,0.0,Energized
,0.512,0.92,0.498,0.0829,0.109,-8.489,0.0399,140.02,9.0,4.0,1.0,Relaxed Sad
,0.489,0.918,0.445,0.11,0.2,-7.343,0.0296,139.95,7.0,4.0,1.0,Relaxed Sad
,0.271,0.586,0.726,0.353,0.532,-6.504,0.0527,87.425,7.0,4.0,1.0,Relaxed Sad
,0.271,0.586,0.726,0.353,0.532,-6.504,0.0527,87.425,7.0,4.0,1.0,Relaxed Sad
,0.602,0.924,0.374,0.084,0.388,-9.849,0.0328,101.855,10.0,4.0,0.0,Relaxed Sad
,0.602,0.924,0.374,0.084,0.388,-9.849,0.0328,101.855,10.0,4.0,0.0,Relaxed Sad
,0.294,0.00946,0.171,0.134,0.223,-8.833,0.0407,138.63,1.0,4.0,1.0,Relaxed Sad
,0.468,0.81,0.658,0.12,0.534,-7.6,0.0668,87.607,2.0,4.0,1.0,Relaxed Sad
,0.468,0.81,0.658,0.12,0.534,-7.6,0.0668,87.607,2.0,4.0,1.0,Relaxed Sad
,0.837,0.169,0.736,0.0911,0.758,-5.502,0.0506,98.011,8.0,4.0,0.0,Energized
,0.821,0.235,0.823,0.207,0.479,-5.455,0.1,107.953,2.0,4.0,1.0,Energized
,0.812,0.418,0.846,0.0992,0.792,-7.023,0.109,98.029,0.0,4.0,0.0,Relaxed Sad
,0.728,0.271,0.734,0.0788,0.523,-4.252,0.0449,130.014,6.0,4.0,0.0,Energized
,0.728,0.271,0.734,0.0788,0.523,-4.252,0.0449,130.014,6.0,4.0,0.0,Energized
,0.22,0.715,0.433,0.129,0.22,-9.075,0.0323,80.004,8.0,4.0,0.0,Relaxed Sad
,0.498,0.488,0.705,0.113,0.962,-6.932,0.0773,176.821,8.0,3.0,1.0,Energized
,0.481,0.551,0.546,0.266,0.48,-4.475,0.0466,83.467,1.0,4.0,0.0,Relaxed Sad
